thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,les
"Numeric counter for order in THOMAS data, starting with 93rd Congress","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,1 = majority party member,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,1 = Committee Chair,1 = Subcommittee Chair,"1 = Member of Appropriation, Rules, or Ways and Means",1 = Member of Budget,"Seniority, number of terms served counting current",1 = Majority party leadership,1 = Minority party leadership,Number of substantive and significant bills sponsored,Number of substantive and significant bills with action in committee,Number of substantive and significant bills with action beyond committee,Number of substantive and significant bills passed House,Number of substantive and significant bills became law,Number of substantive bills sponsored,Number of substantive bills with action in committee,Number of substantive bills with action beyond committee,Number of substantive bills passed House,Number of substantive bills became law,Number of commemorative bills sponsored,Number of commemorative bills with action in committee,Number of commemorative bills with action beyond committee,Number of commemorative bills passed House,Number of commemorative bills became law,Legislative Effectiveness Score (1-5-10)
8017,"Abercrombie, Neil",15245,111,2009,HI,1,1,1,1990,0,77,-0.379000008,2,0,0,1,0,0,10,0,0,0,0,0,0,0,15,2,1,1,0,0,0,0,0,0,0.672246397
8018,"Ackerman, Gary",15000,111,2009,NY,5,1,1,1983,0,71,-0.370999992,29,0,0,1,0,0,14,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.237246081
8019,"Aderholt, Robert",29701,111,2009,AL,4,0,0,1996,0,75,0.470999986,7,0,0,0,1,1,7,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0.329891145
8020,"Adler, John",20928,111,2009,NJ,3,1,1,2008,0,52,-0.123999998,13,0,0,0,0,0,1,0,0,0,0,0,0,0,22,3,3,3,0,1,0,0,0,0,1.352485299
8021,"Akin, W.",20123,111,2009,MO,2,0,0,2000,0,62,0.754000008,9,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,3,0,0.286685616
8022,"Alexander, Rodney",90327,111,2009,LA,5,0,0,2002,0,100,0.5,7,0,0,0,1,0,4,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,0.58851254
8023,"Altmire, Jason",20743,111,2009,PA,4,1,1,2006,0,56,-0.136999995,19,0,0,1,0,0,2,0,0,1,1,1,1,1,11,0,0,0,0,1,1,1,1,1,1.803761482
8024,"Andrews, Robert",29132,111,2009,NJ,1,1,1,1990,0,72,-0.367000014,13,0,0,1,0,0,10,0,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,0.560601234
8025,"Arcuri, Michael",20736,111,2009,NY,24,1,1,2006,0,52,-0.195999995,29,0,0,0,1,0,2,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0.426089197
8026,"Austria, Steve",20940,111,2009,OH,7,0,0,2008,0,58,0.537,18,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0.030702434
8027,"Baca, Joe",29942,111,2009,CA,43,1,1,1999,0,69,-0.337000012,53,0,0,1,0,0,6,0,0,0,0,0,0,0,32,3,1,1,0,3,0,1,1,1,1.157381415
8028,"Bachmann, Michele",20728,111,2009,MN,6,0,0,2006,1,46,0.759000003,8,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0.240037218
8029,"Bachus, Spencer",29301,111,2009,AL,6,0,0,1992,0,98,0.575999975,7,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.083733909
8030,"Baird, Brian",29938,111,2009,WA,3,1,1,1998,0,64,-0.27700001,9,0,0,1,0,0,6,0,0,0,0,0,0,0,12,4,3,2,0,0,0,0,0,0,1.197869301
8031,"Baldwin, Tammy",29940,111,2009,WI,2,1,1,1998,1,69,-0.55400002,8,0,0,0,0,0,6,0,0,0,0,0,0,0,27,6,6,3,0,1,0,0,0,0,2.082063198
8032,"Barrett, J.",20347,111,2009,SC,3,0,0,2002,0,65,0.825999975,6,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.055822607
8033,"Barrow, John",20507,111,2009,GA,12,1,1,2004,0,66,-0.086000003,13,0,0,0,0,0,3,0,0,0,0,0,0,0,7,2,2,2,0,1,1,1,1,1,0.942825437
8034,"Bartlett, Roscoe",29356,111,2009,MD,6,0,0,1992,0,58,0.727999985,8,0,0,0,0,0,9,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.171177641
8035,"Barton, Joe",15085,111,2009,TX,6,0,0,1984,0,62,0.690999985,32,0,0,0,0,0,13,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0.356310934
8036,"Bean, Melissa",20509,111,2009,IL,8,1,1,2004,1,61,-0.179000005,19,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.167467818
8037,"Becerra, Xavier",29316,111,2009,CA,31,1,1,1992,0,100,-0.449999988,53,0,0,0,1,1,9,1,0,0,0,0,0,0,11,3,3,2,0,0,0,0,0,0,1.068558574
8038,"Berkley, Shelley",29922,111,2009,NV,1,1,1,1998,1,68,-0.280000001,3,0,0,0,1,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.265157402
8039,"Berman, Howard",15005,111,2009,CA,28,1,1,1982,0,100,-0.347000003,53,0,1,0,0,0,14,0,0,3,3,3,3,1,11,1,2,1,1,0,0,0,0,0,3.940523624
8040,"Berry, Marion",29702,111,2009,AR,1,1,1,1996,0,100,-0.326000005,4,0,0,0,1,1,7,0,0,0,0,0,0,0,10,0,0,0,0,1,1,1,1,1,0.289579183
8041,"Biggert, Judy",29912,111,2009,IL,13,0,0,1998,1,54,0.634000003,19,0,0,0,0,0,6,0,0,0,0,0,0,0,18,1,1,1,0,0,0,0,0,0,0.59875834
8042,"Bilbray, Brian",29508,111,2009,CA,50,0,0,2006,0,50,0.796999991,53,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0.288024187
8043,"Bilirakis, Gus",20758,111,2009,FL,9,0,0,2006,0,62,0.55400002,25,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,2,2,0,0,0,0,0,0,0.757471859
8044,"Bishop, Rob",20357,111,2009,UT,1,0,0,2002,0,65,0.714999974,3,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,2,2,0,1,1,1,1,1,0.823760569
8045,"Bishop, Timothy",20338,111,2009,NY,1,1,1,2002,0,58,-0.312999994,29,0,0,0,0,1,4,0,0,0,0,0,0,0,23,2,2,2,0,1,1,1,1,1,1.16611588
8046,"Bishop, Sanford",29339,111,2009,GA,2,1,1,1992,0,69,-0.219999999,13,0,0,0,1,0,9,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.361512274
8047,"Blackburn, Marsha",20351,111,2009,TN,7,0,0,2002,1,69,0.787,9,0,0,0,0,0,4,0,0,0,0,0,0,0,17,0,0,0,0,1,1,1,1,1,0.387268752
8048,"Blumenauer, Earl",29588,111,2009,OR,3,1,1,1996,0,75,-0.492000014,5,0,0,0,1,1,7,0,0,0,0,0,0,0,40,0,1,1,0,1,1,1,1,0,0.862730086
8049,"Blunt, Roy",29735,111,2009,MO,7,0,0,1996,0,68,0.665000021,9,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.055822607
8050,"Boccieri, John",20943,111,2009,OH,16,1,1,2008,0,55,-0.184,18,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,2,2,0,3,2,2,2,2,0.86492914
8051,"Boehner, John",29137,111,2009,OH,8,0,0,1990,0,68,0.739000022,18,0,0,0,0,0,10,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.083733909
8052,"Bonner, Jo",20300,111,2009,AL,1,0,0,2002,0,98,0.493000001,7,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.027911304
8053,"Bono Mack, Mary",29775,111,2009,CA,45,0,0,1998,1,58,0.663999975,53,0,0,0,0,0,6,0,0,0,0,0,0,0,10,1,2,2,0,2,1,1,1,1,0.872128487
8054,"Boozman, John",20101,111,2009,AR,3,0,0,2001,0,79,0.592000008,4,0,0,0,0,0,5,0,0,0,0,0,0,0,21,7,6,5,0,1,1,1,0,0,2.412917852
8055,"Bordallo, Madeleine",,111,2009,GU,,1,1,2002,1,100,,1,0,0,1,0,0,4,0,0,0,0,0,0,0,27,8,6,5,2,1,0,0,0,0,3.345222235
8056,"Boren, Dan",20523,111,2009,OK,2,1,1,2004,0,70,-0.07,5,0,0,0,0,0,3,0,0,0,0,0,0,0,24,3,4,4,1,1,0,0,0,0,2.001199245
8057,"Boswell, Leonard",29721,111,2009,IA,3,1,1,1996,0,56,-0.250999987,5,0,0,1,0,0,7,0,0,0,0,0,0,0,11,1,0,0,0,1,1,1,1,1,0.41888988
8058,"Boucher, Rick",15010,111,2009,VA,9,1,1,1982,0,97,-0.187999994,11,0,0,1,0,0,14,0,0,0,0,0,0,0,10,4,2,1,0,0,0,0,0,0,0.937756419
8059,"Boustany, Charles",20514,111,2009,LA,7,0,0,2004,0,62,0.577000022,7,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,1,0.219800919
8060,"Boyd, Allen",29713,111,2009,FL,2,1,1,1996,0,62,-0.158000007,25,0,0,0,1,1,7,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0.44524616
8061,"Brady, Kevin",29760,111,2009,TX,8,0,0,1996,0,73,0.721000016,32,0,0,0,1,0,7,0,0,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,0.45549199
8062,"Brady, Robert",29777,111,2009,PA,1,1,1,1998,0,91,-0.44600001,19,0,1,0,0,0,6,0,0,0,0,0,0,0,17,5,6,5,3,1,0,0,0,0,3.248201609
8063,"Braley, Bruce",20719,111,2009,IA,1,1,1,2006,0,65,-0.352999985,5,0,0,0,0,0,2,0,0,0,0,0,0,0,22,2,2,2,1,0,0,0,0,0,1.390738606
8064,"Bright, Bobby",20900,111,2009,AL,2,1,1,2008,0,50,0.079000004,7,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0.254911572
8065,"Broun, Paul",20753,111,2009,GA,10,0,0,2007,0,61,0.970000029,13,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0.223290429
8066,"Brown, Corrine",29328,111,2009,FL,3,1,1,1992,1,100,-0.372999996,25,0,0,1,0,0,9,0,0,0,0,0,0,0,7,1,1,1,0,2,0,0,0,0,0.450828433
8067,"Brown, Henry",20137,111,2009,SC,1,0,0,2000,0,52,0.536000013,6,0,0,0,0,0,5,0,0,0,0,0,0,0,7,4,4,4,1,0,0,0,0,0,1.876517057
8068,"Brown-Waite, Ginny",20313,111,2009,FL,5,0,0,2002,1,61,0.519999981,25,0,0,0,1,0,4,0,0,0,0,0,0,0,14,1,0,0,0,1,1,1,1,1,0.460756838
8069,"Buchanan, Vern",20709,111,2009,FL,13,0,0,2006,0,56,0.56099999,25,0,0,0,0,0,2,0,0,0,0,0,0,0,10,2,1,1,0,0,0,0,0,0,0.602468193
8070,"Burgess, Michael",20355,111,2009,TX,26,0,0,2002,0,60,0.777999997,32,0,0,0,0,0,4,0,0,0,0,0,0,0,24,3,2,1,0,0,0,0,0,0,1.017780542
8071,"Burton, Dan",15014,111,2009,IN,5,0,0,1982,0,66,0.754000008,9,0,0,0,0,0,14,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.265157402
8072,"Butterfield, G.",20340,111,2009,NC,1,1,1,2004,0,70,-0.36500001,13,0,0,0,0,0,3,1,0,0,0,0,0,0,9,1,0,0,0,3,2,2,2,2,0.543792367
8073,"Buyer, Steve",29350,111,2009,IN,4,0,0,1992,0,60,0.644999981,9,0,0,0,0,0,9,0,0,0,0,0,0,0,19,10,1,1,0,0,0,0,0,0,1.650909305
8074,"Calvert, Ken",29323,111,2009,CA,44,0,0,1992,0,51,0.546000004,53,0,0,0,1,0,9,0,0,0,0,0,0,0,11,1,2,2,0,0,0,0,0,0,0.733270347
8075,"Camp, Dave",29124,111,2009,MI,4,0,0,1990,0,62,0.620999992,15,0,0,0,1,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.097689562
8076,"Campbell, John",20539,111,2009,CA,48,0,0,2005,0,56,0.984000027,53,0,0,0,0,1,3,0,0,0,0,0,0,0,9,1,2,2,0,1,0,1,1,1,0.832310677
8077,"Cantor, Eric",20144,111,2009,VA,7,0,0,2000,0,63,0.744000018,11,0,0,0,1,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.069778264
8078,"Cao, Anh",20917,111,2009,LA,2,0,0,2008,0,50,0.256999999,7,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,1,1,1,1,1,0.345401794
