PhotoDate,ThumbsUp,PeaceSign,Fists,Selfie,Pointing,AloneInPhoto,WithTeammates,WithStaff,WithCelebrity,WithRegPpl,OtherPhotog,Training,Shirtless,HikedUpShorts,GameDayPhoto,Team Activity,Adidas,Video,Portuguese,Brazil
6/29/14,Y,N,N,N,,Y,N,N,N,N,Y,N,N,,N,Y,N,N,,Y
6/30/14,N,N,N,N,,Y,N,N,N,N,Y,N,N,,Y,Y,N,N,,Y
6/30/14,N,N,N,N,,Y,N,N,N,N,Y,N,N,,Y,Y,N,N,,Y
7/1/14,N,N,N,N,,N,N,N,N,N,N,N,N,,Y,Y,N,N,,Y
7/1/14,N,N,N,N,,Y,N,N,N,N,Y,Y,N,,N,Y,N,N,,Y
7/1/14,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,,N,Y,N,N,,Y
7/2/14,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,,Y
7/2/14,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,,Y
7/3/14,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,Y
7/3/14,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
7/3/14,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y
7/3/14,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y
7/4/14,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,Y
7/4/14,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,N,Y
7/4/14,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y
7/5/14,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y
7/5/14,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y
7/6/14,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y
7/6/14,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y
7/7/14,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y
7/7/14,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y
7/8/14,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y
7/8/14,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y
7/8/14,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y
7/9/14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
7/9/14,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y
7/10/14,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y
7/10/14,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y
7/10/14,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y
7/10/14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
7/10/14,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y
7/11/14,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y
7/11/14,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y
7/11/14,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y
7/11/14,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
