PhotoDate,ThumbsUp,PeaceSign,Fists,Selfie,Pointing,AloneInPhoto,WithTeammates,WithStaff,WithCelebrity,WithRegPpl,OtherPhotog,Training,Shirtless,HikedUpShorts,GameDayPhoto,Team Activity,Adidas,Video,Portuguese,Brazil
7/2/14,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,1
7/2/14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,1
7/3/14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,1
7/3/14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7/3/14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7/3/14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
7/4/14,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
7/4/14,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1
7/4/14,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
7/5/14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7/5/14,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
7/6/14,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
7/6/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7/7/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
7/7/14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7/8/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7/8/14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
7/8/14,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
7/9/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7/9/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7/10/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7/10/14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7/10/14,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
7/10/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/10/14,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
7/11/14,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
7/11/14,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
7/11/14,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
7/11/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
